SIDNEY                         => Hi, I'm Sidney. And I love to TEC-9. The popular TEC-9 is advertised by its makers as being tough as the toughest customer.
JACKIE                         => Sheronda, can I ask you a question? Are you and Ordell married?
SHERONDA                       => He say we like the same thing as married.
JACKIE                         => Do you live together?
SHERONDA                       => Most of the times.
JACKIE                         => Not every day?
SHERONDA                       => Sometimes every day, for a while.
JACKIE                         => Then you don't see him for a few days?
SHERONDA                       => Yes'm.
JACKIE                         => You know what's in the bag you're taking?
SHERONDA                       => He say is a surprise.
JACKIE                         => Well, Sheronda, it was nice talking to you.
JACKIE                         => You said it yourself. Ray wants Ordell, he don't give a shit about the money. Money won't convict him, guns will. Yeah, sure, if it falls in their lap, they take it. If they know they got it, they'll look for it... but if they don't...
MAX                            => You're rationalizing.
JACKIE                         => That's what you do to go through with the shit you start. You rationalize. I can do this, Max, I know I can. But I can't do it without you.
MAX                            => It could work... If she handles the cops right, I could work...
ORDELL                         => Check this out.
LOUIS                          => How much is there?
ORDELL                         => Over half-million dollars worth of merchandise.
LOUIS                          => Can I ask you about Melanie?
ORDELL                         => Sure.
LOUIS                          => What's your relationship?
ORDELL                         => She one of the women I got set up. I got Melanie in Hermosa Beach. I rent Simone a small house in Compton, and about four blocks away I got me this nineteen-year-old country girl named Sheronda. I found her waitin' for a bus two days outta Alabama, barefoot, country as a chicken coop. Took her to my house in Compton, told her it was Hollywood.
LOUIS                          => She believed you?
ORDELL                         => Hell, yeah. To her dumb country ass, Compton is Hollywood. Close as she's ever been, anyway.
LOUIS                          => Do you trust Melanie?
ORDELL                         => If this is about you fucked Melanie, I don't give a damn. I ain't a fool. I leave you alone with a bitch like Melanie, you're gonna be fuckin' that twenty minutes after I'm out the door. So say "thank you" and I'll tell you, "you're welcome."
LOUIS                          => That's not what I meant when I asked did you trust her.
ORDELL                         => She tryin' to work your ass against me, ain't she?
LOUIS                          => Yep.
ORDELL                         => You didn't even hafta say it. I know the woman.
LOUIS                          => Well, why the fuck keep her around?
ORDELL                         => 'Cause she my fine little surfer gal. She can't do me no harm. Fact she think she can play you against me shows how little she knows. You could teach that bitch for days how it is 'tween me an you, she never understand a damn word.
LOUIS                          => Why do you let someone know your business you can't trust?
ORDELL                         => I don't hafta trust her, I know her.
LOUIS                          => What does that mean?
ORDELL                         => You can't trust Melanie. But you can always trust Melanie to be Melanie.
LOUIS                          => I still don't understand why you keep her around.
ORDELL                         => I told you, man.  She my fine little surfer gal.
MELANIE                        => What?
JACKIE                         => It's Jackie.
ORDEL                          => ... Now she's gonna pout...
ORDELL                         => Hey, Jackie, c'mon in.
ORDELL                         => She gonna hafta find her sandals... find her bag... find her sunglasses... take twenty damn minutes get her ass out the door.  Jackie - his is Louis, Louis - Jackie. And the chick stompin' around in the other room is Melanie.
ORDELL                         => You have a nice time, hear?
ORDELL                         => Drink?
JACKIE                         => I need to talk to you alone.
JACKIE                         => I don't want no more fuckin' surprises. We do this the way I laid it out, or we don't do it at all.
ORDELL                         => What the hell you talkin' bout?
JACKIE                         => Sheronda passin' the money onto someone else, that's what the hell I'm talkin' 'bout.
ORDELL                         => How do you know she did that?
JACKIE                         => I was there, I saw her do it.
ORDELL                         => Well, you weren't supposed to be there.
JACKIE                         => I know, but I hung around, 'cause I figured you'd try an' pull some shit like this.
ORDELL                         => Now, hold on there. I ain't pullin' no shit. It's my money, I can do whatever the fuck I wanna do with it.
JACKIE                         => Not when it's my ass on the line you don't. We do this my way or fuck it.
ORDELL                         => Just chill the fuck out, Jackie. It ain't no big thing. The woman you saw was my friend, Simone. She's the one gonna be receiving the money, so I just wanted her to see how it works. She'll be here any minute. Nice woman, you'll like her.
ORDELL                         => Louis, call Simone and tell her to get her tail over here. We're waitin' on her ass.
ORDELL                         => I'm about ready for a refill. Sure I can't tempt you?
JACKIE                         => Nicolet and Dargus stop me at the airport and mark the bills.
ORDELL                         => Man, I don't like that part.
JACKIE                         => It washes off. I tell them we're doing it the same way as before. They'll follow Sheronda. I hate the idea of leaving her for a fall.
ORDELL                         => She won't have no problems 'cause she don't know nothin'.
JACKIE                         => Are you sure she don' know about the money?
ORDELL                         => She don't know shit about the money.
JACKIE                         => What does she think she's gettin?
ORDELL                         => I told her this is a game us rich folks play, exchanging gifts. Like a scavenger hunt. She didn't know what that was neither.  No answer?
LOUIS                          => Uh-huh.
ORDELL                         => Hang it up, she's on her way. You gotta listen to this. This involves you.
ORDELL                         => No, you gonna give her a Robinson's/May bag this time?
JACKIE                         => Right, the one Simone gives me. Simone and I'll make the switch at Robinson's/May. She knows what I look like?
ORDELL                         => She saw you with Sheronda. So Simone goes to the dress department with her Robinson's/May bag.
JACKIE                         => Designer clothes.
ORDELL                         => She waits for you to go in the place where you try things on.
JACKIE                         => The fitting room. There's a sign over the door.
LOUIS                          => Why we doin' I there?
JACKIE                         => I have a hunch they'll be watchin' me. We can't risk switching bags out in the open or even in the dining area. That's why it has to be a woman, 'cause we do the switch in the fitting room.
ORDELL                         => So you come out with her Robinson's/May bag, go meet Sheronda. Simone peeks out, waits for my man Louis here to give her a signal nobody's watchin'. She leaves the store, gets in her car - mission accomplished.
JACKIE                         => Where you gonna be during all this?
ORDELL                         => I'm gonna be sittin' at the titty bar In downtown L.A. till my man over here calls me and gives me the O.K. sign.
JACKIE                         => I gotta go.
ORDELL                         => Who's paging you?
JACKIE                         => Ray, the A.T.F. guy.
ORDELL                         => That works on my nerves, you bein' so buddy-buddy with him.
JACKIE                         => If I wasn't, this wouldn't work. Now once I deliver I'll have to trust you.
ORDELL                         => Well, I've been trusting you all this time, haven't I? We agreed on ten percent of what you bring in and that's what you gonna get.
JACKIE                         => And a hundred thousand if I go to jail.
ORDELL                         => We're partners, Baby, sorta. I ain't gonna screw you. You haven't told me where I put it for you.
JACKIE                         => Give it to the bail bondsman, Max Cherry. He'll take care of it.
ORDELL                         => Max Cherry? You and him friends now? You tell him about this shit?
JACKIE                         => He won't know where the money came from. Only that it's money.
ORDELL                         => Don't you know all them bail bondsmen are crooks...
JACKIE                         => Do you have a phone?
WANDA                          => Yeah, it's in the back.
JACKIE                         => Thanks.
MELANIE                        => Hey!
JACKIE                         => Oh, hi.
MELANIE                        => Buy ya a beer?
JACKIE                         => I'm waiting for the phone.
MELANIE                        => Good luck. That guy's been in there since I got here.
JACKIE                         => Well, I guess I better look for another one, then. Thanks, anyway.
MELANIE                        => I know what you and Ordell got goin'. You sit down and have a beer with me. I'll tell you a secret.
JACKIE                         => Sure.
MELANIE                        => Great... (calling to the bartender) ... Wanda!
WANDA                          => What?
MELANIE                        => This lady is thirsty.
WANDA                          => What do you want?
MELANIE                        => What's on tap?
WANDA                          => Coors, Sam, Rolling Rock, and Killian's Red.
JACKIE                         => Killian's.
MELANIE                        => Better get me another Sam's.  Join me in a Jaeger shot?
JACKIE                         => Uh-uh.
MELANIE                        => Gimme one anyway.
WANDA                          => You got it.
JACKIE                         => How long you been with Ordell?
MELANIE                        => This time? Almost a year. I've known him forever.
JACKIE                         => What were you two fighting about?
MELANIE                        => He told me to go outside. (imitating Ordell's voice) "You may leave us now." It's all part of his pathetic attempt to be "the man." You know Mr. Walker don't you?
MELANIE                        => Mr. Walker's my buddy. Ask him about Ordell.
JACKIE                         => That coke was yours, wasn't it?
MELANIE                        => Oh, man, listen. I'm sorry about that. I hope they don't come down on you on my account. Ordell shoulda told you it was in your bag.
WANDA                          => Seven dollars.
JACKIE                         => He said he didn't know about it.
MELANIE                        => You believe that? Yeah, well, I guess you have to trust him.  I'd have second thoughts on that, but then I know 'em.
MELANIE                        => He killed a guy who works for him the other day.
JACKIE                         => Beaumont Livingston?
MELANIE                        => You already knew that?
JACKIE                         => Kinda.
MELANIE                        => So tell me. Having all that money in your flight bag - Is it tempting?
MELANIE                        => I tell you. If Ordell ever sent me to carry in ten thousand dollars, that would be the last motherfuckin' time he saw me. The next trip you're gonna have over half-a-million. If you thought of cutting Ordell out, I sure as hell wouldn't blame you.
MELANIE                        => You think I'm kidding?
JACKIE                         => Dreaming.
MELANIE                        => You know how easy it would be? He won't be anywhere near that mall. Pull one more switch, up front. That's it. half-a-million dollars. Need help?
JACKIE                         => Keep it between us girls?
MELANIE                        => What's that fucker ever done for us?
JACKIE                         => I don't think so, but thanks for the beer.
MELANIE                        => Chicken shit.
JACKIE                         => Ordell has a white guy working for him named Louis.
NICOLET                        => You two meet?
JACKIE                         => This afternoon before I came here. He was with Ordell at an apartment in Hermosa Beach. I don't know if he lives there, but I can find out.
NICOLET                        => You talk to him?
JACKIE                         => Not really.
NICOLET                        => His full name is Louis Gara. He just got out from serving four years in Susanville.
JACKIE                         => What for?
NICOLET                        => Bank robbery? Do you know what he does for Ordell?
JACKIE                         => I imagine shit needs to be done.
NICOLET                        => We've been following Mr. Gara, and he's definitely working for Ordell.
NICOLET                        => They served two years together almost twenty years ago in Soledad. But he doesn't live in Hermosa Beach. Ordell's got him staying at a house in.
NICOLET                        => ... Compton with a fifty-six-year- old petty thief - woman named Simone Hawkins.
NICOLET                        => Ever meet her, or they talk about her?
JACKIE                         => Not yet.
NICOLET                        => Who's the other one?
JACKIE                         => White girl named Melanie Ralston. Another girlfriend of Ordell's.
NICOLET                        => What's her story?
JACKIE                         => It was her coke I got busted with. She knows everything, but she's not part of it, and she's pissed cause she's not part of it. Ordell wouldn't even let her stay at the meeting. She tried to talk me into ripping off Ordell.
NICOLET                        => And splittin' with her?
JACKIE                         => I'm sure that was the idea.
NICOLET                        => What did you say?
JACKIE                         => I smiled and walked away. She also told me Ordell killed Beaumont.
NICOLET                        => She told you that?
JACKIE                         => Uh-huh.
NICOLET                        => Was she there?
JACKIE                         => She didn't say.
NICOLET                        => But she mentioned Beaumont by name?
JACKIE                         => Uh-huh.
NICOLET                        => Well, this sounds like a lady I'd like to have a word with. So everything's set for tomorrow?
JACKIE                         => Right. Everything's the same, except one change...
JACKIE                         => I told them Ordell's changed the amount he's bringing in.
MAX                            => Do you think they bought it?
JACKIE                         => Oh, yeah. I got them thinking Ordell's real nervous. They love thinking he's scared of them.
MAX                            => You know, a good cop won't let you know he knows you're fulla shit.
JACKIE                         => All he needed was a reasonable explanation.
JACKIE                         => Right. Everything's the same except one change. Ordell thinks it's just too hot right now to bring in all his money. He knows you're watching him, and he's paranoid. He's keeping his stash where it is, but he wants to bring in fifty thousand for bail in case he needs it.
MAX                            => It'll be more than that.
JACKIE                         => Don't be so literal. Ray believed it.
MAX                            => But you still have to show him the money at the airport.
JACKIE                         => Well, you know I'm not going to show him the whole amount. He'll see fifty thousand.
MAX                            => Where's the rest of it?
JACKIE                         => In the bag underneath.
MAX                            => What if he checks it?
JACKIE                         => He won't - I mean, he didn't the last time. He'll be expecting fifty thousand and there it is - on top.
MAX                            => You're takin' a helluva chance kid.
JACKIE                         => Not really. If he finds it, I say Mr. Walker put the money in, and I didn't know nothing about it. Like the coke.
MAX                            => Then you're out and you get nothing.
JACKIE                         => Yeah, but I'm not in jail and I tried.
MAX                            => You're gonna have surveillance all over you.
JACKIE                         => That's why you don't make a move till I come out of the fitting room.
MAX                            => In a dress.
JACKIE                         => Well, a suit. There's one I had my eye on.
JACKIE                         => Excuse me.
ORDELL                         => It's Ordell. We got a bit of a change in plans here. Nothing to worry 'bout - everything's the same - except for one change. That bitch you saw in the mall, Simone. She wasn't here today, cause she split on me.  Me an Louis went over to her place ,she's gone. She's gone and all her shit's gone and so's my ten thousand dollars.  It ain't nothin' to worry about, girl. Everything's just like we discussed. Except when you do the switch, instead of Simone, it's gonna be Melanie.
MELANIE                        => Chicken shit.
PASSENGER                      => Listen, Miss, I'm waiting for a drink and you spend half the fuckin' flight in the can. Soon as we land I'm making a formal complaint.
JACKIE                         => Why, because I called you an asshole.
PASSENGER                      => You didn't call me that.
JACKIE                         => I didn't? Oh, well, you're an asshole.
NICOLET                        => We have to stop meeting like this.
JACKIE                         => You said that the last time.
NICOLET                        => Well, it's true, isn't it? After his is buttoned up we could meet someplace else. What do you think?
JACKIE                         => We could, if I'm not in jail.
NICOLET                        => Oh, that's taken care of. I called the State Attorney's Office. You were no-filed this morning in Circuit Court.
JACKIE                         => Are you saying I'm off the hook?
NICOLET                        => Free as a bird. I still expect you to finish the job, though. How much do you have this time?
JACKIE                         => Fifty thousand, like I said. He's pretty sure he's gonna need it for bail.
NICOLET                        => That's fifty thousand, huh? It doesn't look like that much.
JACKIE                         => I was told ten thousand in each pack.
NICOLET                        => You didn't count it?
JACKIE                         => I never have. It's not my money.
NICOLET                        => He might have slipped some coke in here. Did you check?
JACKIE                         => Mr. Walker promised he'd never do that again.
JACKIE                         => Ever been tempted?
NICOLET                        => What? To put one of these in my pocket?
JACKIE                         => Uh-huh.
NICOLET                        => If I did, I'd have to give you one, wouldn't I? Or we could take what we want. No one knows how much there is except us, right?
JACKIE                         => Yes. All those things are true.
NICOLET                        => After all, it don't belong to nobody, right?
JACKIE                         => That would be one point of view.
NICOLET                        => Yeah, well, it's not a point of view that A.T.F. shares. Once we make it evidence, it belongs to us. You are now officially out of trouble. Don't do nothing stupid, now.
JACKIE                         => How can I do anything if I'm being watched every second?
NICOLET                        => I'm glad you realize that. Saves me the trouble of pointing it out to you.  Put this in your shopping bag. It's what I expect to find when I look in Sheronda's. Comprende?
JACKIE                         => Si.
MAX                            => I'm going out for a few hours.
WINSTON                        => Hold on a minute.  Where you going?
MAX                            => I'm going to Del Amo, see a movie, get something to eat.
WINSTON                        => Watcha gonna see?
MAX                            => Whatever looks best and starts the soonest.
WINSTON                        => Have fun.
ORDELL                         => What the fuck are you two still doing there?!
LOUIS                          => I was ready to leave ten minutes ago.
ORDELL                         => Well, you the one in motherfuckin' charge.
LOUIS                          => Well, she keeps saying 'in a minute.'
ORDELL                         => Go in there, snatch her by the hair, and drag her big ass out. This is my goddam money we're talking about. Get your ass out the door.
LOUIS                          => We're leaving now!
MELANIE                        => All right already.
AMY                            => Can I help you?
JACKIE                         => Yes, you have a suit I've had my eye on.
AMY                            => Oh, my God. You look so cool.
JACKIE                         => This looks pretty good on me.
AMY                            => Are you kidding, it looks great. You wear this to a business meeting, you're the badass in the room. But you can go out dancing in this too. It's a total power suit.
JACKIE                         => I think I'm gonna just get this for today. I'm in kind of a hurry. Would you mind ringing this up while I change out of it?
AMY                            => Not a problem.
JACKIE                         => Thanks.
MEALNIE                        => Jackie?
JACKIE                         => Hi, Melanie.
MELANIE                        => Are you getting that black suit?
JACKIE                         => Yeah, do you like it?
MELANIE                        => It looks good on you.
JACKIE                         => Do you got something for me?
MELANIE                        => You betcha.
MELANIE                        => We coulda worked this. You know that, dontcha? You would've made out a lot better than you're going to, believe me.
JACKIE                         => I put a little cherry on top. You're right. What the hell he ever do for us?
MELANIE                        => Thanks.
JACKIE                         => Now be careful with that bag. You don't want it ripping open on you in the middle of the store.
JACKIE                         => I'm sorry, I just decided to stay in the suit - get out of that damn uniform.
AMY                            => Oh, that's not a problem.
JACKIE                         => Oh, somebody left a shopping bag in there. Looks like beach towels.
JACKIE                         => Ray! Ray! I need you! Come out! She took the money.
JACKIE                         => Melanie burst in the dressing room and took the money!
LOUIS                          => Come on, goddammit, we're late!
MELANIE                        => Jesus Christ, get a grip, Louis.
LOUIS                          => We shoulda been there already and we woulda been if it hadn't been for your fuckin' around!
AM                             => ... You wear this to a business meeting, you're the badass in the room...
MELANIE                        => That's a nice outfit on her. I'm gonna go over and look at this Michi Moon display.
LOUIS                          => Just stay right fuckin' here, all right?
MELANIE                        => Are you sweating?
MELANIE                        => Job a little too much for you?
MELANIE                        => I'll be over here. You're too conspicuous.
LOUIS                          => Goddammit, not till I tell ya.
LOUIS                          => What are you doin'?
MELANIE                        => I'm getting out of here. What do you think?
LOUIS                          => Lemme have the bag.
MELANIE                        => Fuck you. I can carry it.
LOUIS                          => Goddam you. Gimme that bag,
MELANIE                        => Watch it, dipshit. You wanna rip the fuckin' bag?
LOUIS                          => Gimme that bag before I knock you out and take it.
MELANIE                        => Okay, okay. Take it. Jesus, what's wrong with you?
LOUIS                          => I'm carrying it.
MELANIE                        => Okay, you got it. Just take a chill pill, for christ sake.
LOUIS                          => Fuck you with your chill pill.
MELANIE                        => Remember where we came in?
MELANIE                        => Nooo, that's towards Sears. We came in through Bullocks. I know where it is. Want to follow me, Lou-is?
MELANIE                        => You have no idea where you parked, do you?
MELANIE                        => Jesus, but if you two aren't the biggest fuck-ups I've ever seen in my life... How did you ever rob a bank? When you robbed banks, did you have to look for your car then too? No wonder you went to jail.
MELANIE                        => Is it this aisle, Lou-is?
LOUIS                          => Yeah, down the end.
MELANIE                        => You sure?
MELANIE                        => Is it this aisle or the next one over?
LOUIS                          => This one.
MELANIE                        => You sure?
LOUIS                          => Don't say anything else, okay? I'm telling you, keep your mouth shut.
LOUIS                          => I mean it. Don't say one fuckin' word.
MELANIE                        => Okay, Lou-is.
LOUIS                          => See, just where I fuckin' said it was!
LOUIS                          => Hey, look. I found it!
SALESGIRL                      => Can I show you something?
MAX                            => Not right now. I'm just killing time waiting for my wife. But thanks, anyway.
SALESGIRL                      => Sure thing. If anything grabs you, don't be shy.
MAX                            => Thanks, I won't.
AMY                            => Oh, my God. You look so cool.
MAX                            => And away we go.
JACKIE                         => Oh, somebody left a shopping bag in there. Looks like beach towels.
MAX                            => Max, old boy. You've spent nineteen years dealing with people who take incredible risks. You walk over to that counter, you're gonna find out what it's like.
MAX                            => Excuse me, but my wife thinks she left a bag of beach towels in the fitting room?
AMY                            => Yeah, I think they're back there. Go get 'em. There's nobody in there. I think they're in the last stall.
MAX                            => Thanks.
MAX                            => Got 'em, thanks.
AMY                            => Sure thing.
BARTENDER                      => There a Ordell here?
ORDELL                         => That's me.
BARTENDER                      => Don't talks all day.
LOUIS                          => It's Louis.
ORDELL                         => Did you get it?
LOUIS                          => I got it. Listen, there's something else I have to tell you.
ORDELL                         => When I see you. Pick me up at Sam's. You count the money?
LOUIS                          => I haven't even looked at it yet, it's still in the shopping bag.
ORDELL                         => Melanie must be dyin' to see it.  Louis.
LOUIS                          => That's what I got to talk to you about. You see, Melanie was giving me a hard time -
ORDELL                         => - Not now, pick me up.
ORDELL                         => You keep drivin' down Ninth, to where they got all them car dealerships. We're gonna leave this heap in a parking lot and get one the cops don't know about.  Hey, where's Melanie?
LOUIS                          => That's what I gotta tell you. She bugged me the whole time. Got pissy with me 'cause I wouldn't let her carry the bag. Started running her fuckin' mouth... I couldn't remember right away when we came out where the car was parked, so she got on me about that. "Is it this aisle Lou-is, is it that one?" She was totally fuckin' with my nerves.
ORDELL                         => So what, you left her there.
LOUIS                          => I shot her.
LOUIS                          => I expect she's dead.
ORDELL                         => You shot Melanie?
LOUIS                          => Twice. In the parking lot.
ORDELL                         => Couldn't talk to her?
LOUIS                          => You know how she is.
ORDELL                         => You couldn't just hit her?
LOUIS                          => Maybe... but at that moment... I dunno...
ORDELL                         => You shot her twice?
LOUIS                          => Uh-huh.
ORDELL                         => So you're sure she's dead.
LOUIS                          => Pretty sure.
ORDELL                         => Where did you shoot her?
LOUIS                          => In the chest and stomach.
ORDELL                         => Well, if you had to do it, you had to do it. What we don't want is that bitch surviving on us. Anybody but that woman.
ORDELL                         => Louis?
LOUIS                          => What?
ORDELL                         => Where's the rest of it?
LOUIS                          => How much it there?
ORDELL                         => Maybe forty, maybe not that much.
LOUIS                          => You said five hundred and fifty!
ORDELL                         => So you light, ain't you. You light about a half-a-million.
LOUIS                          => Look, that's the bag she came out with. She never even put her hand in it, and neither did I.
ORDELL                         => Came outta where?
LOUIS                          => The fitting room. It went down exactly the way it was supposed to.
ORDELL                         => How long was she in there?
LOUIS                          => Maybe a minute. She came right out.
ORDELL                         => Louis, You tellin' me the truth?
LOUIS                          => Look, I swear to fucking god, she came out with that bag and I took it from her.
ORDELL                         => Then what?
LOUIS                          => We went to the parking lot.
ORDELL                         => Where you shot her.
LOUIS                          => That's right.
ORDELL                         => You sure she ain't somewhere with a half-a-million dollars I worked my ass off to earn?
LOUIS                          => Fuck you for asking me that.
ORDELL                         => Pull the car over.
ORDELL                         => What'd you shoot her with?
LOUIS                          => It's in there.
LOUIS                          => What's that gonna tell you" If I was really pullin' a burn, I'd have taken two out, wouldn't I? I thought you trusted me.
JACKIE                         => Gotcha, nigga.
DISSOLVE BACK                  => TO:
ORDELL                         => Okay, so it was Jackie Brown.
LOUIS                          => If she's got it, why didn't she take it all?
ORDELL                         => 'fore I blow that bitch's brains out, I'll ask her.
LOUIS                          => Maybe the Feds got it.
ORDELL                         => If there were nothin; in here but towels, maybe she didn't get a chance to take it from her suitcase and A.T.F. got it. But, she put these fuckin' books in here to trick our ass.
LOUIS                          => That's why I never checked it. The bag felt right.
ORDELL                         => Then she throws forty thousand in here, to rub the shit in my face, know what I'm saying? She wants me to know she ripped me off.
LOUIS                          => I don't know. Either she has it or the Feds.
ORDELL                         => Or...  ... she gave it to somebody else first, before Melanie went in the dressing room.
LOUIS                          => Jesus Christ.
ORDELL                         => What?
LOUIS                          => You know who I saw in the dress department?
ORDELL                         => Tell me.
LOUIS                          => I didn't really think anything of it. No - I did wonder what he was doing there, but didn't think it had anything to do with us. You know like maybe he was there with his wife or girlfriend.
ORDELL                         => You gonna tell me who it was?
LOUIS                          => Max Cherry.
ORDELL                         => You see Max Cherry in the dress department. We're about to be handed half-a-million dollars - Man, look at me when I'm talking to you! And you don't think nothing of him being there!
LOUIS                          => Do Max Cherry and Jackie Brown know each other?
ORDELL                         => Hell, yes, they know each other. He bonded her out of county.
LOUIS                          => How am I supposed to know that?
ORDELL                         => You know the motherfucker's a bail bondsman, don't ya? You know every last one of them motherfuckers is crooked as hell?
LOUIS                          => Why should I think anything's weird, if I don't know nothin' about them knowing each other?
ORDELL                         => Man, I don't want to hear your fuckin' excuses!
LOUIS                          => I ain't givin' you fuckin' excuses, I'm givin' you reasons.
ORDELL                         => Oh, you gonna tell me the reason you lost all the goddam money I got in the world! Let me tell you the reason, motherfucker! The reason is, your ass ain't worth a shit no more!
LOUIS                          => You best back off.
ORDELL                         => What the fuck happened to you, man? Shit, your ass use'ta be beautiful.
NICOLET                        => You didn't tell me you were gonna do some shopping.
JACKIE                         => I thought I did.
NICOLET                        => You didn't. I would think with all this on your mind, you'd wait till after.
JACKIE                         => I got there early. I've had my eye on this suit - Wait, let's start over. I got there early. The idea was to try on the suit, see if I liked it. If I did, get them to wrap it up, and change back into my uniform. That's what Sheronda's expecting me to wear. Go meet Sheronda, give her the bag with fifty thousand, and go home.
NICOLET                        => But you didn't do that.
JACKIE                         => Because I didn't have it. Ray, I swear, Melanie came in and grabbed it.  And someone killed her for it.
NICOLET                        => Where's the bag she gave you?
JACKIE                         => She didn't give me one. I told you before, Melanie wasn't part of the plan. Ordell must of told her to do it. She bursts in, grabs the shopping bag, and takes off. What am I supposed to do, go after her? I'm in my fucking underwear. I had to get dressed before I could do anything. So I put this back on 'cause could put this on faster than I could my uniform.
NICOLET                        => You took the time to pay the saleswoman.
JACKIE                         => I had to. I was frantic. I didn't know what to do.
NICOLET                        => What did you do after that?
JACKIE                         => I went looking for you. I went straight to the bookstore, 'cause that's where you were last time, but you weren't there. How the hell else am I supposed to let anybody know what happened? You didn't tell me how to do that, did you? I knew I was under surveillance, so when I couldn't spot anybody, I started yelling.
NICOLET                        => There was a guy with Melanie?
JACKIE                         => Not in the fitting room.
NICOLET                        => We had our agent on you. She sees a blonde come out of the fitting room carrying a Robinson's/May bag and tussle with a tough-looking white guy. The white guy takes the shopping bag and they go.
NICOLET                        => This guy with Melanie, that was Louis Gara?
JACKIE                         => I didn't see him. I was in my underwear. If it was a white guy, it was probably Louis. He kill Melanie?
NICOLET                        => It's possible. You're saying you don't have any idea what happened to that fifty thousand?
JACKIE                         => I have no idea.
NICOLET                        => You'd take a polygraph on it?
JACKIE                         => If it'll make you happy.
NICOLET                        => I sure hope you haven't done anything dumb Jackie.
DARGUS                         => Can I have a word with you?
NICOLET                        => Sure.
NICOLET                        => Louis Gara's dead. L.A.P.D. found him dead in a car on Ninth. And we've lost Ordell.
JACKIE                         => I thought you were watching him.
NICOLET                        => We were, and we lost him. He walked into a strip bar sometime around three thirty and never came out. The bar was on Ninth, less than a mile- and-a-half from where Louis was found dead. It looks like Louis's friend shot him twice at point blank range.
JACKIE                         => So what happens now?
NICOLET                        => We pick up Ordell. We've got three murders we can link him to. We have the storage unit where he keeps his guns, by tomorrow we'll have a search warrant to go in and get him. And we have you.
JACKIE                         => What about me?
NICOLET                        => What about you?
JACKIE                         => Do you think I took some of that money?
NICOLET                        => I have no evidence of your taking anything. You didn't pay for your snazzy new suit with marked bills; I was glad to see that. You've been helping us out, you gave us Melanie and Louis. Melanie had a packet of marked bills stuffed in her shorts when they found her, which goes a long way backing up your story.
NICOLET                        => I'll settle for Ordell with the marked bills.
NICOLET                        => If you have something else going on you haven't told me about, it's between you and Ordell. All I gotta say is, you better hope we find him before he finds you.
ORDEL                          => ... I can't leave here today... Mr. Walker, I ain't goin' nowhere till I get my money... You wouldn't have that fuckin' boat weren't for me. Man, I'm learnin' real fast who my friends are... Mr. Walker?
ORDELL                         => Can you believe that shit? Motherfucker hung up on me. Ingrate nigger. Do things for people and that's how they treat you. Goddamn girl, how can you live like this?
RAYNELLE                       => Like what?
ORDELL                         => Girl, this shit is repugnant.
WINSTON                        => Cherry Bail Bonds.
ORDELL                         => Let me speak to Max Cherry.
WINSTON                        => He ain't here right now.
ORDELL                         => He leave town?
WINSTON                        => He's around.
ORDELL                         => Give me his home number.
WINSTON                        => I'll give you his beeper.
ORDELL                         => Hello.
MAX                            => I've been looking for you.
ORDELL                         => You know who this is?
MAX                            => Mister Robbie, isn't it? I have the ten thousand you put up. Isn't that why you called.
MAX                            => The bond collateral on Beaumont Livingston you moved over to cover Miss Brown, remember?
ORDELL                         => She got off, huh?
MAX                            => They decided to no-file. Tell me where you are and I'll bring you your money.
MAX                            => You still there?
ORDELL                         => Looky here, I know you helped her and I know you know what I want Jackie can tell me any story come in that pretty head of hers. Long as at the end of that story, she hands over my money. She do that, we're still friends. Now, she don't wanna be my friend no more, tell her to think about ol' Louis. And if she tries to turn me in, I'll name her ass as my accessory. We'll go upstate together. Hand in handcuffed hand. Now that shit's a promise, understand what I'm sayin'? You tell her that, and I'll call you back.
MAX                            => You're right, that was Ordell. You have time, you think you could find out for me where he's staying?
WINSTON                        => Cops can't locate him, huh?
MAX                            => They don't have your winning personality.
WINSTON                        => Sure thing. I don't have to know what I'm doing, long as you know.
MAX                            => I think I do. Is that good enough?
JACKIE                         => Hello.
MAX                            => I know where he is.
JACKIE                         => How'd you find out?
MAX                            => All Winston had to do was ask around. Ordell's living in Long Beach with a woman junkie.
JACKIE                         => How does Winston find him if A.T.F. and all the local Police can't?
MAX                            => People talk to Winston. He's street, same as them, they trust him. They get busted, they know somebody who can bond them out. I thought I might drop in on him. He'll no doubt be surprised to see me.
JACKIE                         => He's liable to shoot you.
MAX                            => On the phone I told him I have the ten thousand he put up for your bond. I could bring the money and the papers for him to sign. Walk out and call the Sheriff's department.
JACKIE                         => Ray wants him.
MAX                            => Everybody wants him, he's a homicide suspect. It doesn't matter who brings him in, he's gonna name you as an accessory.
JACKIE                         => That's why A.T.F.'s gotta make the case. I'm their witness. They wouldn't have a case without me. If it's his word against mine, who are they gonna believe?
MAX                            => It's not that simple.
JACKIE                         => It never was, so I'm not gonna start worrying about it now. Look, Ray more or less believes my story, and he more or less doesn't care. All he really gives a shit about is getting Ordell.
MAX                            => So how do we give Ordell to Nicolet?
JACKIE                         => Get Ordell to come to your office.
MAX                            => Set him up.
JACKIE                         => Uh-huh.
MAX                            => Tell him you want to see him?
JACKIE                         => Tell him I want to give him his money.
MAX                            => Why?
JACKIE                         => I've chickened out. I'm afraid of him. He'll like that.
MAX                            => What do you tell Nicolet?
